similarity,score,length,gaps,name,cenp_b_box_detected,chromosome
67.5,234.60000000000028,200,130,chr1,0,1
60.0,199.20000000000033,200,160,chr2,0,2
58.5,188.60000000000025,200,166,chr3,0,3
71.5,249.8000000000003,200,114,chr4,0,4
60.5,200.60000000000042,200,158,chr5,0,5
66.0,220.40000000000023,200,136,chr6,0,6
64.5,218.6000000000003,200,142,chr7,0,7
59.5,193.8000000000002,200,162,chr8,0,8
59.5,195.00000000000037,200,162,chr9,0,9
49.5,147.80000000000038,200,202,chr10,0,10
60.5,199.4000000000003,200,158,chr11,0,11
53.0,177.60000000000085,200,188,chr12,0,12
82.0,300.79999999999995,200,72,chr13,0,13
85.5,322.19999999999993,200,58,chr14,0,14
84.5,312.9999999999999,200,62,chr15,0,15
45.0,132.80000000000047,200,220,chr16,0,16
93.5,361.4,200,26,chr17,0,17
28.000000000000004,68.00000000000082,200,288,chr18,0,18
65.0,220.80000000000032,200,140,chr19,0,19
85.5,319.79999999999984,200,58,chr20,0,20
85.0,316.3999999999999,200,60,chr21,0,21
87.5,330.5999999999999,200,50,chr22,0,22
62.0,205.60000000000028,200,152,chrX,0,X
