similarity,score,length,gaps,name,cenp_b_box_detected,chromosome
66.0,112.80000000000004,100,68,chr1,0,1
66.0,111.60000000000002,100,68,chr2,0,2
87.0,165.00000000000003,100,26,chr3,0,3
85.0,158.60000000000002,100,30,chr4,0,4
57.99999999999999,95.60000000000008,100,84,chr5,0,5
59.0,96.60000000000008,100,82,chr6,0,6
63.0,103.80000000000004,100,74,chr7,0,7
66.0,110.80000000000007,100,68,chr8,0,8
61.0,100.60000000000008,100,78,chr9,0,9
87.0,163.80000000000004,100,26,chr10,0,10
57.99999999999999,94.40000000000008,100,84,chr11,0,11
60.0,99.20000000000002,100,80,chr12,0,12
81.0,149.80000000000007,100,38,chr13,0,13
89.0,171.00000000000003,100,22,chr14,0,14
82.0,149.6,100,36,chr15,0,15
76.0,136.8000000000001,100,48,chr16,0,16
91.0,175.80000000000004,100,18,chr17,0,17
56.00000000000001,90.00000000000009,100,88,chr18,0,18
63.0,105.00000000000006,100,74,chr19,0,19
77.0,137.00000000000003,100,46,chr20,0,20
84.0,156.00000000000006,100,32,chr21,0,21
85.0,158.60000000000005,100,30,chr22,0,22
60.0,97.60000000000008,100,80,chrX,0,X
