similarity,score,length,gaps,name,cenp_b_box_detected,chromosome
49.4,378.99999999999943,500,506,chr1,0,1
64.2,534.1999999999983,500,358,chr2,0,2
62.2,511.3999999999978,500,378,chr3,0,3
62.8,521.1999999999975,500,372,chr4,0,4
54.2,424.99999999999795,500,458,chr5,0,5
40.8,300.00000000000193,500,592,chr6,0,6
56.599999999999994,432.99999999999784,500,434,chr7,0,7
57.4,464.5999999999973,500,426,chr8,0,8
35.4,246.20000000000294,500,646,chr9,0,9
52.400000000000006,435.19999999999226,500,476,chr10,0,10
66.60000000000001,562.9999999999982,500,334,chr11,0,11
54.400000000000006,439.19999999999766,500,456,chr12,0,12
84.0,776.7999999999993,500,160,chr13,0,13
85.2,798.3999999999993,500,148,chr14,0,14
88.4,833.9999999999997,500,116,chr15,0,15
52.0,393.9999999999986,500,480,chr16,0,16
70.19999999999999,604.599999999998,500,298,chr17,0,17
38.4,277.2000000000021,500,616,chr18,0,18
54.0,417.599999999999,500,460,chr19,0,19
50.4,363.5999999999994,500,496,chr20,0,20
84.8,787.5999999999996,500,152,chr21,0,21
85.8,805.7999999999995,500,142,chr22,0,22
71.0,618.9999999999975,500,290,chrX,0,X
