similarity,score,length,gaps,name,chromosome
93.8,908.9999999999999,500,62,chr1_0,1
93.60000000000001,906.8,500,64,chr2_0,2
81.0,726.1999999999997,500,190,chr3_0,3
91.8,877.8,500,82,chr4_0,4
71.0,612.5999999999976,500,290,chr5_0,5
98.8,983.1999999999999,500,12,chr6_0,6
98.4,977.1999999999999,500,16,chr7_0,7
90.8,867.5999999999999,500,92,chr8_0,8
95.8,941.8000000000001,500,42,chr9_0,9
95.8,941.0,500,42,chr10_0,10
64.4,531.9999999999982,500,356,chr11_0,11
93.60000000000001,908.0,500,64,chr12_0,12
100.0,1000.0,500,0,chr13_0,13
59.8,496.9999999999967,500,402,chr14_0,14
83.2,750.7999999999998,500,168,chr15_0,15
70.6,614.1999999999971,500,294,chr16_0,16
68.4,589.1999999999964,500,316,chr17_0,17
53.6,408.3999999999983,500,464,chr18_0,18
73.6,662.7999999999972,500,264,chr19_0,19
94.6,921.0,500,54,chr20_0,20
97.6,964.4,500,24,chr21_0,21
99.4,991.8,500,6,chr22_0,22
70.19999999999999,607.3999999999977,500,298,chrX_0,X
