similarity,score,length,gaps,name,chromosome
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,1
94.92,4665.399999999983,2500,254,chr13_1000000,2
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,3
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,4
94.92,4665.399999999983,2500,254,chr13_1000000,5
95.44,4692.799999999994,2500,228,chr13_1000000,6
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,7
94.92,4665.399999999983,2500,254,chr13_1000000,8
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,9
94.92,4665.399999999983,2500,254,chr13_1000000,10
94.92,4665.399999999983,2500,254,chr13_1000000,11
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,12
95.44,4692.799999999994,2500,228,chr13_1000000,13
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,14
94.92,4665.399999999983,2500,254,chr13_1000000,15
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,16
95.44,4692.799999999994,2500,228,chr13_1000000,17
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,18
94.92,4665.399999999983,2500,254,chr13_1000000,19
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,20
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,21
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,22
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,X
